,Opp,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
12/31/2021,LAL,L,240,106,36,102,35.3,12,42,28.6,22,27,81.5,21,33,54,19,4,2,9,22,-33
12/29/2021,UTA,L,240,105,37,88,42.0,14,40,35.0,17,24,70.8,11,34,45,23,6,3,11,28,-15
12/27/2021,DAL,L,240,117,35,82,42.7,12,40,30.0,35,42,83.3,8,25,33,19,4,5,11,28,-15
12/21/2021,NOP,L,240,97,35,78,44.9,13,34,38.2,14,19,73.7,7,24,31,18,12,4,11,17,-14
12/19/2021,MEM,W,240,105,35,74,47.3,11,32,34.4,24,28,85.7,9,42,51,17,4,9,25,18,5
12/17/2021,CHA,W,240,125,44,85,51.8,21,47,44.7,16,18,88.9,7,34,41,27,7,6,17,20,9
12/15/2021,MEM,L,240,103,31,82,37.8,15,38,39.5,26,28,92.9,5,33,38,18,9,6,15,21,-10
12/14/2021,PHX,L,265,107,40,96,41.7,13,41,31.7,14,22,63.6,12,36,48,23,7,3,14,18,-4
12/12/2021,MIN,L,240,111,37,81,45.7,18,48,37.5,19,28,67.9,12,33,45,25,9,8,19,25,-5
12/08/2021,GSW,L,240,94,33,80,41.3,8,30,26.7,20,28,71.4,7,35,42,24,5,3,16,24,-10
12/06/2021,LAC,L,240,90,35,79,44.3,5,22,22.7,15,20,75.0,7,38,45,16,6,6,18,19,-12
12/04/2021,BOS,L,240,117,42,89,47.2,8,29,27.6,25,32,78.1,9,23,32,22,7,2,9,21,-28
12/02/2021,SAS,L,240,83,29,82,35.4,12,34,35.3,13,17,76.5,8,33,41,19,8,6,18,20,-31
11/30/2021,DET,W,240,110,41,96,42.7,14,42,33.3,14,18,77.8,10,33,43,24,8,5,11,22,18
11/29/2021,UTA,L,240,107,42,91,46.2,11,31,35.5,12,17,70.6,12,30,42,19,1,3,9,18,-22
11/26/2021,GSW,L,240,103,36,86,41.9,13,38,34.2,18,23,78.3,7,30,37,23,7,2,10,13,-15
11/24/2021,SAC,L,240,121,44,94,46.8,12,38,31.6,21,25,84.0,13,30,43,27,9,1,15,26,-4
11/23/2021,DEN,W,240,119,45,88,51.1,15,39,38.5,14,20,70.0,12,31,43,25,12,7,9,18,19
11/20/2021,PHI,W,240,118,40,80,50.0,15,34,44.1,23,23,100,5,33,38,23,6,7,13,21,7
11/17/2021,CHI,W,240,112,37,84,44.0,11,31,35.5,27,28,96.4,12,32,44,26,10,5,17,19,5
11/15/2021,TOR,W,240,118,46,82,56.1,16,36,44.4,10,14,71.4,7,32,39,25,6,7,14,15,5
11/14/2021,DEN,L,240,95,35,80,43.8,13,39,33.3,12,13,92.3,8,28,36,22,8,4,13,15,-29
11/12/2021,HOU,W,240,104,34,87,39.1,11,36,30.6,25,31,80.6,11,41,52,21,10,4,14,27,12
11/10/2021,PHX,L,240,109,44,91,48.4,7,30,23.3,14,16,87.5,14,32,46,24,5,2,16,21,-10
11/09/2021,LAC,L,240,109,43,91,47.3,14,37,37.8,9,12,75.0,9,34,43,29,6,5,10,15,-8
11/06/2021,LAL,W,240,105,36,95,37.9,15,55,27.3,18,24,75.0,12,40,52,22,14,7,12,21,15
11/05/2021,IND,W,240,110,40,82,48.8,17,39,43.6,13,15,86.7,6,36,42,27,7,4,14,15,4
11/03/2021,CLE,L,240,104,40,90,44.4,13,37,35.1,11,17,64.7,10,29,39,24,12,6,9,19,-3
11/01/2021,PHI,L,240,103,40,84,47.6,12,34,35.3,11,18,61.1,13,32,45,21,5,2,15,15,-10
10/31/2021,CHA,L,240,113,43,97,44.3,17,54,31.5,10,11,90.9,15,32,47,30,4,5,12,18,-12
10/29/2021,LAC,W,240,111,41,98,41.8,19,41,46.3,10,16,62.5,16,47,63,21,8,6,14,19,19
10/27/2021,MEM,W,240,116,39,84,46.4,15,36,41.7,23,31,74.2,13,35,48,22,11,6,14,20,20
10/25/2021,LAC,L,240,86,32,85,37.6,8,37,21.6,14,18,77.8,7,40,47,15,11,4,30,18,-30
10/23/2021,PHX,W,240,134,51,94,54.3,21,50,42.0,11,17,64.7,8,40,48,24,8,5,9,15,29
10/20/2021,SAC,L,240,121,45,93,48.4,12,35,34.3,19,22,86.4,9,40,49,25,5,5,13,22,-3
