Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Collin McHugh,ATL,34,19,0,0,0,21.0,20,9,21,5,1,0,1,0,2,4,3.86,1.19
John King,TEX,27,21,0,0,0,21.0,21,7,17,9,1,1,1,0,2,6,3.00,1.43
Mychal Givens,CHC,32,21,0,0,0,20.2,18,8,28,7,5,4,0,1,2,4,3.48,1.21
Anthony Bass,MIA,34,20,0,0,0,20.2,15,5,20,5,1,1,2,0,1,8,2.18,0.97
Rafael Montero,HOU,31,22,0,0,0,20.2,12,1,23,5,1,3,0,3,0,6,0.44,0.82
Dany Jimenez,OAK,28,21,0,0,0,20.2,15,9,22,10,0,2,3,10,1,2,3.92,1.21
Camilo Doval,SF,24,21,0,0,0,20.2,19,8,25,9,2,0,2,8,2,0,3.48,1.35
Alex Lange,DET,26,23,0,0,0,20.2,11,4,26,8,0,3,1,0,0,7,1.74,0.92
Mitch White,LAD,27,8,3,0,0,20.2,17,11,22,8,3,1,1,0,0,0,4.79,1.21
Emmanuel Clase,CLE,24,22,0,0,0,20.1,15,5,23,4,1,1,2,8,2,0,2.21,0.93
